App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;Legacy;Real-time updates;100;1;58,78;32,16;74,65;50,9;70,54;73,66;599;600;60034;9;10;120;730;122;16,71;15;21;22;24;0;32;93
RN;Legacy;Real-time updates;100;2;54,41;32,01;73,42;51,01;69,83;70,93;599;600;60029;8;9;119,3;730;150;20,55;15;21;22;24;0;18;115
RN;Legacy;Real-time updates;100;3;53,51;32,44;74,28;50,69;70,13;72,39;599;600;60037;9;11;119,8;730;150;20,55;15;21;22;26;0;21;118
RN;Legacy;Real-time updates;100;4;54,09;31,89;73,41;50,92;69,79;70,86;599;600;60028;10;11;120,5;730;151;20,68;15;21;22;25;0;24;120
RN;Legacy;Real-time updates;100;5;53,64;32,26;75,26;50,79;69,75;70,72;600;601;60071;8;9;118,9;730;154;21,1;15;21;22;23;0;12;121
RN;Legacy;Real-time updates;100;6;54,86;32,08;74,02;50,88;69,96;71,24;599;600;60031;9;10;119,6;730;148;20,27;15;21;22;24;0;22;113
RN;Legacy;Real-time updates;100;7;53,92;31,94;73,88;50,73;69,71;70,95;599;600;60033;8;10;119,1;731;146;19,97;15;21;22;25;0;19;111
RN;Legacy;Real-time updates;100;8;55,17;32,35;75,04;51,06;70,28;72,84;599;600;60042;9;11;120,2;730;152;20,82;15;21;22;26;0;25;117
RN;Legacy;Real-time updates;100;9;54,35;32,12;73,67;50,81;69,88;71,06;599;600;60027;9;10;119,7;730;149;20,41;15;21;22;24;0;20;116
RN;Legacy;Real-time updates;100;10;53,78;31,97;74,31;50,64;69,74;71,52;600;601;60064;8;9;119,4;731;153;20,93;15;21;22;25;0;23;119
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;Legacy;Real-time updates;200;1;67,13;33,5;92,95;66,78;89,36;92,6;299;300;60051;5;7;119,4;381;298;78,22;24;29;32;38;0;99;279
RN;Legacy;Real-time updates;200;2;65,71;32,29;93,87;67,08;86,66;93,1;299;300;60065;6;7;120,1;381;305;80,05;25;29;32;38;0;112;286
RN;Legacy;Real-time updates;200;3;66,07;33,16;94,4;66,92;89,27;92,42;299;300;60018;6;6;119,4;381;307;80,58;24;29;34;36;0;121;292
RN;Legacy;Real-time updates;200;4;65,8;32,55;93,6;66,53;89,13;92,58;299;299;60003;5;6;121,8;381;295;77,43;23;29;32;38;0;129;271
RN;Legacy;Real-time updates;200;5;65,62;32,62;93,98;66,89;88,35;93,1;299;300;60026;4;6;120,2;381;306;80,31;25;29;34;38;0;110;290
RN;Legacy;Real-time updates;200;6;66,24;32,88;94,12;66,84;88,97;92,74;299;300;60032;5;7;120,5;381;302;79,27;24;29;32;38;0;116;284
RN;Legacy;Real-time updates;200;7;65,89;32,41;93,55;66,71;88,62;92,91;299;300;60044;6;7;119,9;381;300;78,74;24;29;33;37;0;108;282
RN;Legacy;Real-time updates;200;8;66,58;33,04;94,36;67,02;89,21;93,18;299;300;60028;5;6;120,7;382;307;80,37;25;29;34;38;0;123;291
