App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;New Architecture;Real-time updates;1000;4;22,03;19,82;28,06;21,49;25,87;28,06;60;60;59994;1;4;174,3;103;13;12,62;16;21;27;29;0;13;1
RN;New Architecture;Real-time updates;1000;5;22,6;19,82;32,94;21,57;28,7;32,94;60;60;60003;0;3;175,2;101;11;10,89;16;20;27;28;0;11;0
RN;New Architecture;Real-time updates;1000;6;22,18;19,64;28,31;21,42;27,22;28,31;60;61;59998;1;4;174,8;104;10;9,62;16;20;27;28;0;10;0
RN;New Architecture;Real-time updates;1000;7;22,47;20,05;29,18;21,61;27,76;29,18;60;61;60006;0;3;175,6;102;14;13,73;16;21;27;29;0;14;1
RN;New Architecture;Real-time updates;1000;8;22,06;18,91;27,94;21,29;26,84;27,94;59;60;59993;1;4;174,2;103;7;6,8;16;19;21;27;0;7;0
RN;New Architecture;Real-time updates;1000;9;22,31;19,87;28,62;21,53;27,41;28,62;60;60;60001;1;4;175;108;15;13,89;16;21;27;28;0;15;1
RN;New Architecture;Real-time updates;1000;10;22,58;20,16;32,41;21,66;28,36;32,41;60;60;60008;0;3;175,4;101;11;10,89;16;20;27;28;0;11;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
Native;Android;Real-time updates;50;1;5,12;0;10;5;9;10;1200;1200;60000;3;4;134,8;1472;3;0,2;17;17;17;19;0;3;3
Native;Android;Real-time updates;50;2;4,91;0;11;5;9;10;1200;1200;60000;4;5;135,4;1470;4;0,27;17;17;18;19;0;4;4
Native;Android;Real-time updates;50;3;4,82;0;11;5;9;10;1200;1200;60000;3;5;134,1;1469;4;0,27;17;17;17;19;0;3;4
Native;Android;Real-time updates;50;4;5,76;0;10;7;9;10;1200;1200;59999;4;5;135,2;1475;4;0,27;17;17;17;19;0;4;4
Native;Android;Real-time updates;50;5;5,36;0;11;6;9;10;1200;1200;60000;3;4;133,8;1470;1;0,07;17;17;17;18;0;1;1
Native;Android;Real-time updates;50;6;5,18;0;10;5;9;10;1200;1200;60000;3;4;134,6;1472;5;0,34;17;17;18;19;0;5;5
Native;Android;Real-time updates;50;7;5,23;0;11;5;9;10;1200;1200;60000;4;5;135,1;1474;3;0,2;17;17;17;19;0;3;3
Native;Android;Real-time updates;50;8;5,42;0;10;6;9;10;1200;1200;59999;3;5;133,9;1474;3;0,2;17;17;17;19;0;3;3
Native;Android;Real-time updates;50;9;5,04;0;11;5;9;10;1200;1200;60000;4;5;136;1471;4;0,27;17;17;18;19;0;4;4
Native;Android;Real-time updates;50;10;5,31;0;10;6;9;10;1200;1200;60000;3;4;134,3;1471;2;0,14;17;17;17;18;0;2;2
;;;;;;;;;;;;;;;;;;;;;;;;;;
Native;Android;Real-time updates;100;1;5,08;1;17;5;10;11;600;600;60000;1;1;128,7;779;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;2;5,42;1;17;5;10;12;600;600;60000;0;1;128,4;783;0;0;11;12;12;13;0;0;0
Native;Android;Real-time updates;100;3;6,02;0;17;6;10;12;600;600;60000;1;1;128,6;782;0;0;11;12;12;13;0;0;0
