Device,Architecture,Interval_ms,Avg_Latency_ms_mean,Avg_Latency_ms_median,Avg_Latency_ms_sd,Avg_Latency_ms_n,P95_Latency_ms_mean,P95_Latency_ms_median,P95_Latency_ms_sd,P95_Latency_ms_n,P99_Latency_ms_mean,P99_Latency_ms_median,P99_Latency_ms_sd,P99_Latency_ms_n,CPU_Modal_percent_mean,CPU_Modal_percent_median,CPU_Modal_percent_sd,CPU_Modal_percent_n,RAM_Peak_MB_mean,RAM_Peak_MB_median,RAM_Peak_MB_sd,RAM_Peak_MB_n
Moto G72 (120 Hz),RN_NewArch,200.0,22.783,22.810000000000002,0.12543701385334602,10,26.887,26.945,0.2830410256874824,10,28.412,28.380000000000003,0.19446793508899612,10,2.6,3.0,0.5163977794943223,10,175.36,175.15,1.1246727919216761,10
Moto G72 (120 Hz),RN_NewArch,1000.0,22.27,22.244999999999997,0.22395436042987724,10,27.333999999999996,27.314999999999998,0.8331226400316659,10,29.149,28.4,1.925723240759169,10,0.5,0.5,0.5270462766947299,10,174.87,174.9,0.5012207320355191,10
Pixel 4a (60 Hz),Native,50.0,10.192000000000002,10.175,0.4899160925891066,10,18.3,18.0,0.4830458915396479,10,19.1,19.0,0.3162277660168379,10,3.2,3.0,0.4216370213557839,10,92.55,92.55000000000001,0.7106335201775961,10
Pixel 4a (60 Hz),Native,100.0,10.718,10.735,0.2229000772643304,10,18.2,18.0,0.4216370213557839,10,19.0,19.0,0.0,10,1.0,1.0,0.0,10,95.77000000000001,95.75,0.549848463972877,10
Pixel 4a (60 Hz),Native,200.0,11.424000000000001,11.35,0.2943995772943825,10,19.7,19.5,0.8232726023485646,10,20.6,21.0,0.5163977794943222,10,1.0,1.0,0.0,10,93.82,93.69999999999999,0.6178816859057839,10
Pixel 4a (60 Hz),Native,1000.0,10.336,10.239999999999998,0.2916314264425028,10,18.5,18.5,0.5270462766947299,10,19.1,19.0,0.5676462121975466,10,0.0,0.0,0.0,10,95.47,95.55000000000001,0.6037843618010948,10
Pixel 4a (60 Hz),RN_Legacy,50.0,41.633,41.565,0.38384169190493694,10,51.924,51.84,0.4421965375008917,10,59.102999999999994,59.2,0.30958933372381475,10,10.6,11.0,0.5163977794943222,10,126.32000000000001,126.1,4.243897579662669,10
Pixel 4a (60 Hz),RN_Legacy,100.0,54.650999999999996,54.22,1.543520147080836,10,69.961,69.85499999999999,0.27383896322068374,10,71.617,71.15,1.0012997109313024,10,8.7,9.0,0.674948557710553,10,119.65000000000002,119.65,0.49721446300587663,10
Pixel 4a (60 Hz),RN_Legacy,200.0,66.053,65.955,0.4954918992498475,10,88.70899999999999,89.005,0.7980594519764108,10,92.78699999999999,92.81,0.29272854319317737,10,5.1,5.0,0.7378647873726218,10,120.30999999999999,120.15,0.746026511295377,10
Pixel 4a (60 Hz),RN_Legacy,1000.0,114.60900000000001,114.18,1.7766788617467657,10,124.90799999999999,124.92,0.8579406868905481,10,128.70800000000003,126.26,5.013609921448264,10,1.2,1.0,0.42163702135578396,10,118.21,117.94999999999999,3.5259198957309135,10
Pixel 4a (60 Hz),RN_NewArch,50.0,28.266,28.28,0.09359487165438049,10,33.577,33.625,0.24774763144960396,10,35.353,35.34,0.20319940944796025,10,10.8,11.0,0.7888106377466155,10,146.73999999999998,145.64999999999998,3.111341261328376,10
Pixel 4a (60 Hz),RN_NewArch,100.0,38.967,38.95,0.1498184086003978,10,47.08,46.87,0.7025825376581898,10,49.899,49.8,1.3296653714374904,10,7.6,8.0,0.5163977794943222,10,145.33999999999997,145.5,1.166380917386961,10
Pixel 4a (60 Hz),RN_NewArch,200.0,53.245000000000005,53.015,1.1893812583767158,10,64.077,63.96,0.35764818218777894,10,66.129,66.125,0.5059303860765395,10,5.0,5.0,0.0,10,145.78,145.75,0.5266244708835061,10
Pixel 4a (60 Hz),RN_NewArch,1000.0,56.428,58.785,6.718240179623761,10,73.59099999999998,74.13499999999999,7.377746494244252,10,76.98700000000001,78.72999999999999,6.84606951306936,10,0.4,0.0,0.5163977794943223,10,143.67000000000002,143.85000000000002,1.1528226229563663,10
